name,standard portion,unit,calories,total fat,sat fat,carb,fibre,protein,morning,meal,snack,category
egg,1,1,78,5,1.6,0.6,0,6,1,1,0,1
milk 2%,100,g,50,2,1.3,4.8,0,3.3,1,0,0,-1
chicken sausage,1,1,91,7,2,2,0,5,1,0,0,-1
cereal,100,g,379,7,1.1,68,10,13,1,0,0,-1
banana,1,1,105,0.4,0.1,27,3.1,1.3,1,0,1,-1
bread ww+f,2,slice,194.5,2.5,1,35,7,8,1,0,0,-1
orange juice,250,ml,120,0,0,28,3,2,1,1,0,-1
chicken breast,100,g,165,3.6,1,0,0,31,0,1,0,1
chicken thigh,100,g,177,8,2.3,0,0,24,0,1,0,1
pork chop,100,g,231,14,4.3,0,0,24,0,1,0,1
pork tenderloin,100,g,143,3.5,1.2,0,0,26,0,1,0,1
beef grounded,100,g,250,15,6,0,0,26,0,1,0,1
salmon raw,100,g,208,13,3.1,0,0,20,0,1,0,1
beef tenderloin,100,g,324,25,10,0,0,24,0,1,0,1
beef steak,100,g,271,19,8,0,0,25,0,1,0,1
pasta,85,g,300,1,0,63,3,11,0,1,0,2
quinoa,45,g,160,2.5,0.3,29,3,6,0,1,0,2
rice,45,g,180,0.5,0,39,1,5,0,1,0,2
brown rice,100,g,111,0.9,0.2,23,1.8,2.6,0,1,0,2
raisin,100,g,299,0.5,0.1,79,3.7,3.1,0,1,0,3
dried cranberry,100,g,308,1.4,0.1,82,6,0.1,0,1,0,3
grape,100,g,67,0.4,0.1,17,0.9,0.6,0,0,1,-1
almond,100,g,576,49,3.7,22,12,21,0,1,1,4
walnut,100,g,654,65,6,14,7,15,0,1,1,4
pecan,100,g,690,72,6,14,10,9,0,1,1,4
peanut,100,g,567,49,7,16,9,26,0,1,1,4
broccoli,100,g,34,0.4,0,7,2.6,2.8,0,1,0,5
spinach,100,g,23,0.4,0.1,3.6,2.2,2.9,0,1,0,5
celery,100,g,16,0.2,0,3,1.6,0.7,0,1,0,5
carrot,100,g,41,0.2,0,10,2.8,0.9,0,1,0,5
cabbage,100,g,25,0.1,0,6,2.5,1.3,0,1,0,5
chinese cabbage,100,g,13,0.2,0,2.2,1,1.5,0,1,0,5
pea shoot,100,g,31,1,0,5,2,3,0,1,0,5
yogurt,100,g,61,3.3,2.1,4.7,0,3.5,0,0,1,-1
maple syrup,100,g,260,0.1,0,67,0,0,0,0,1,-1
honey,100,g,304,0,0,82,0.2,0.3,0,0,1,-1
apple,100,g,52,0.2,0,14,2.4,0.3,0,0,1,-1
pear,100,g,57,0.1,0,15,3.1,0.4,0,0,1,-1
kiwi,100,g,61,0.5,0,15,3,1.1,0,0,1,-1
orange,100,g,47,0.1,0,12,2.4,0.9,0,0,1,-1
grapefruit,100,g,42,0.1,0,11,1.6,0.8,0,0,1,-1
stawberry,100,g,33,0.3,0,8,2,0.7,0,0,1,-1
blueberry,100,g,57,0.3,0,14,2.4,0.7,0,0,1,-1
tomato,100,g,18,0.2,0,3.9,1.2,0.9,0,1,1,5
protein powder,25,g,100,2,0.5,2,0,19,0,0,0,-1
